country,number of Turkish dramas,continent,Capital City,Latitude,Longitude,Population,Capital Type,distance_to_ankara,cultural distance,rate of introduction
United Arab Emirates,84,Asia,Abu Zaby (Abu Dhabi),24.4648,54.3618,1419699,Capital,0.19125977210248485,0.01,0.34710743801652894
India,57,Asia,Delhi,28.6667,77.2167,28513682,Capital,0.33051190066537006,0.0793723,0.23553719008264462
Philippines,49,Asia,Manila,14.6042,120.9822,13482468,Capital,0.6621582412275726,0.1298888,0.2024793388429752
France,45,Europe,Paris,48.8534,2.3488,10900952,Capital,0.2295492047563604,0.6693177,0.1859504132231405
Indonesia,40,Asia,Jakarta,-6.2118,106.8416,10516927,Capital,0.6296538091518518,0.0833755,0.1652892561983471
Egypt,40,Africa,Al-Qahirah (Cairo),30.0392,31.2394,20076002,Capital,0.07230074851396617,0.3713828,0.1652892561983471
Poland,35,Europe,Warszawa (Warsaw),52.2298,21.0118,1767798,Capital,0.12335513716534345,0.324006,0.1446280991735537
Australia,34,Oceania,Canberra,-35.2835,149.1281,447692,Capital,1.0,0.7100703,0.14049586776859505
Spain,32,Europe,Madrid,40.4165,-3.7026,6497124,Capital,0.26402196945123413,0.7732433,0.1322314049586777
Singapore,31,Asia,Singapore,1.2897,103.8501,5791901,Capital,0.583682754347835,0.230165,0.128099173553719
Argentina,29,South America,Buenos Aires,-34.6051,-58.4004,14966530,Capital,0.8508386475808689,0.4332813,0.11983471074380166
United States,27,North America,"Washington, D.C.",38.8951,-77.0364,5206593,Capital,0.7936160860974052,0.534117,0.1115702479338843
Italy,23,Europe,Roma (Rome),41.8947,12.4811,4209710,Capital,0.14781571403195476,0.4192803,0.09504132231404959
Brazil,22,South America,Brasília,-15.7797,-47.9297,4469585,Capital,0.7086143745052557,0.3063638,0.09090909090909091
Hungary,19,Europe,Budapest,47.498,19.0399,1759497,Capital,0.11378594042725085,0.5444989,0.07851239669421488
Germany,17,Europe,Berlin,52.5244,13.4105,3552123,Capital,0.16733677932611027,0.7842516,0.07024793388429752
South Africa,17,Africa,Cape Town,-33.9258,18.4232,4430367,Legislative Capital,0.5433682377844444,0.3910609,0.07024793388429752
United Kingdom,16,Europe,London,51.5085,-0.1257,9046485,Capital,0.2524422168955692,0.6967751,0.06611570247933884
Mexico,15,North America,Ciudad de México (Mexico City),19.4273,-99.1419,21580827,Capital,0.9646369383912727,0.4145935,0.06198347107438017
Ecuador,13,South America,Quito,-0.2299,-78.525,1822397,Capital,0.8549951931784503,0.1381429,0.05371900826446281
Canada,13,North America,Ottawa-Gatineau,45.4166,-75.698,1363159,Capital,0.7849206074012037,0.5667968,0.05371900826446281
Japan,12,Asia,Tokyo,35.6895,139.6917,37468302,Capital,0.7721366121005522,0.6066421,0.049586776859504134
Sweden,11,Europe,Stockholm,59.3326,18.0649,1582968,Capital,0.17623835328411067,1.0,0.045454545454545456
Netherlands,11,Europe,Amsterdam,52.374,4.8897,1131690,Capital,0.22106960916853438,0.8124272,0.045454545454545456
Tunisia,10,Africa,Tunis,36.819,10.1658,2290777,Capital,0.1653694165552963,0.1240503,0.04132231404958678
South Korea,9,Asia,Seoul,37.5665,126.978,9733509,Capital,0.6799317781731508,0.7258395,0.0371900826446281
Thailand,8,Asia,Krung Thep (Bangkok),13.722,100.5252,10156316,Capital,0.5240321081565626,0.3391781,0.03305785123966942
Croatia,5,Europe,Zagreb,45.8144,15.978,685587,Capital,0.1290931496252333,0.3995508,0.02066115702479339
Bulgaria,4,Europe,Sofia,42.6975,23.3242,1272418,Capital,0.0716856485326808,0.3135629,0.01652892561983471
Serbia,4,Europe,Beograd (Belgrade),44.8176,20.4633,1389351,Capital,0.09621872537117242,0.32449,0.01652892561983471
Vietnam,3,Asia,Hà Noi,21.0245,105.8412,4282738,Capital,0.5444555123376184,0.377932,0.012396694214876033
Iran,3,Asia,Tehran,35.6944,51.4215,8895947,Capital,0.13751244459619075,0.0628783,0.012396694214876033
Kazakhstan,3,Asia,Astana,51.1801,71.446,1068113,Capital,0.29031286854348537,0.2559081,0.012396694214876033
Saudi Arabia,3,Asia,Ar-Riyadh (Riyadh),24.6905,46.7096,6906595,Capital,0.14868404799232773,0.0949598,0.012396694214876033
Peru,3,South America,Lima,-12.0432,-77.0282,10390607,Capital,0.877777612811714,0.2758466,0.012396694214876033
Greece,3,Europe,Athínai (Athens),37.9534,23.749,3155600,Capital,0.06727047155200604,0.2814158,0.012396694214876033
Bosnia and Herzegovina,3,Europe,Sarajevo,43.8486,18.3564,342577,Capital,0.10847335721337682,0.188779,0.012396694214876033
Chile,3,South America,Santiago,-33.4569,-70.6483,6680371,Capital,0.9162254294559403,0.5071435,0.012396694214876033
