country,year,sec,emant,sec2,emant2,dist_to_TR,std_dist_to_TR
Albania,2018,.30179208,.41519768,.26934332,.36241357,.0619603,.1458853
Algeria,2014,.35573957,.3245185,.26934332,.36241357,.0943417,.2221269
Andorra,2018,.41170816,.62607542,.26934332,.36241357,.299642,.7055054
Argentina,2017,.42067248,.46712261,.26934332,.36241357,.1840231,.4332813
Armenia,2018,.3903646,.32612805,.26934332,.36241357,.1263439,.2974761
Australia,2018,.41370923,.62719547,.26934332,.36241357,.3015808,.7100703
Austria,2018,.40724092,.63518787,.26934332,.36241357,.3056494,.7196499
Azerbaijan,2018,.34009611,.36922856,.26934332,.36241357,.0710802,.167358
Bangladesh,2018,.23467116,.30487414,.26934332,.36241357,.0671785,.1581713
Belarus,2018,.48832182,.4078173,.26934332,.36241357,.223636,.5265498
Belgium,2009,.46873399,.48389587,.26934332,.36241357,.2334836,.5497358
Bolivia,2017,.37147213,.39243406,.26934332,.36241357,.1064496,.250635
Bosnia and Herzegovina,2019,.33438456,.40929826,.26934332,.36241357,.0801782,.188779
Brazil,2018,.34853694,.46565725,.26934332,.36241357,.1301187,.3063638
Bulgaria,2017,.39280512,.41234472,.26934332,.36241357,.1331763,.3135629
Burkina Faso,2007,.28445947,.29879355,.26934332,.36241357,.0653912,.1539631
Canada,2006,.34501962,.59093907,.26934332,.36241357,.2407297,.5667968
Chile,2018,.4618183,.45909799,.26934332,.36241357,.2153938,.5071435
China,2018,.40128382,.39176663,.26934332,.36241357,.1351662,.318248
Colombia,2018,.33768833,.42645556,.26934332,.36241357,.0936612,.2205247
Croatia,2017,.39112289,.48059496,.26934332,.36241357,.1696971,.3995508
Cyprus,2019,.30968943,.41666222,.26934332,.36241357,.0676071,.1591806
Czech Republic,2017,.51011411,.53050146,.26934332,.36241357,.2936394,.6913723
Denmark,2017,.39037626,.73488148,.26934332,.36241357,.3916393,.9221124
Dominican Republic,1996,.35716145,.4573988,.26934332,.36241357,.1293608,.3045793
Ecuador,2018,.32321978,.38564565,.26934332,.36241357,.058672,.1381429
Egypt,2018,.1741417,.23664977,.26934332,.36241357,.1577336,.3713828
El Salvador,1999,.26633976,.37468517,.26934332,.36241357,.0126338,.0297463
Estonia,2018,.45075729,.52861536,.26934332,.36241357,.2460367,.579292
Ethiopia,2020,.18129666,.32580086,.26934332,.36241357,.0953557,.2245144
Finland,2017,.40999635,.65083348,.26934332,.36241357,.3208883,.7555298
France,2018,.41651579,.60562345,.26934332,.36241357,.2842724,.6693177
Georgia,2018,.27821081,.3543339,.26934332,.36241357,.0119964,.0282454
Germany,2018,.38196877,.6758821,.26934332,.36241357,.3330871,.7842516
Germany West,1981,.45248291,.45544531,.26934332,.36241357,.2054143,.4836467
Ghana,2012,.21334318,.26629951,.26934332,.36241357,.1112382,.2619096
Greece,2017,.31963056,.4708428,.26934332,.36241357,.1195228,.2814158
Guatemala,2020,.4038059,.47864062,.26934332,.36241357,.1777327,.4184706
Haiti,2016,.51021924,.37946226,.26934332,.36241357,.2414785,.5685598
Hong Kong SAR,2018,.49585965,.48554722,.26934332,.36241357,.2578208,.6070375
Hungary,2018,.42404917,.53430597,.26934332,.36241357,.2312594,.5444989
Iceland,2017,.41823302,.73180144,.26934332,.36241357,.3982657,.9377142
India,2012,.24382898,.34038067,.26934332,.36241357,.033711,.0793723
Indonesia,2018,.25813563,.32882278,.26934332,.36241357,.0354112,.0833755
Iran,2020,.25968102,.33751713,.26934332,.36241357,.0267057,.0628783
Iraq,2018,.34337479,.26417975,.26934332,.36241357,.1230063,.2896176
Ireland,2008,.40945334,.45921669,.26934332,.36241357,.1702987,.4009674
Italy,2018,.34195289,.52501466,.26934332,.36241357,.1780766,.4192803
Japan,2019,.4390502,.55628093,.26934332,.36241357,.2576528,.6066421
Jordan,2018,.17498896,.27153484,.26934332,.36241357,.1310026,.3084449
Kazakhstan,2018,.377316,.37487321,.26934332,.36241357,.1086892,.2559081
Kosovo,2008,.23437544,.37354651,.26934332,.36241357,.0366973,.0864037
Kuwait,2014,.25055657,.32316963,.26934332,.36241357,.043509,.1024416
Kyrgyzstan,2020,.30933233,.29372604,.26934332,.36241357,.0794802,.1871356
Latvia,2008,.51124403,.44837117,.26934332,.36241357,.256719,.6044435
Lebanon,2018,.36615619,.41243674,.26934332,.36241357,.1089727,.2565756
Libya,2014,.23916688,.26189731,.26934332,.36241357,.1049483,.2471001
Lithuania,2018,.44483574,.4892713,.26934332,.36241357,.2165421,.5098471
Luxembourg,2008,.42590587,.50744625,.26934332,.36241357,.2134158,.5024863
Macau SAR,2020,.51279229,.50136921,.26934332,.36241357,.2803142,.6599982
Malaysia,2018,.38196763,.41982148,.26934332,.36241357,.1264116,.2976355
Mali,2007,.24199864,.31729807,.26934332,.36241357,.0527555,.1242125
Malta,2008,.26498573,.37553562,.26934332,.36241357,.0138267,.0325548
Mexico,2018,.42829297,.43818485,.26934332,.36241357,.176086,.4145935
Moldova,2008,.41899479,.36999509,.26934332,.36241357,.1498434,.3528054
Montenegro,2019,.34375873,.42382488,.26934332,.36241357,.0964832,.2271691
