Original Title,types,variable_index,country,date,types_recode,continent,cultural distance,distance_to_ankara
20 Dakika,Fall–Rise,1,Mexico,"January 1, 2013",1,North America,0.4145935,0.9646369383912728
20 Dakika,Fall–Rise,3,Hungary,"July 22, 2013",1,Europe,0.5444989,0.1137859404272508
20 Dakika,Fall–Rise,6,Sweden,"January 13, 2014",1,Europe,1.0,0.1762383532841106
20 Dakika,Fall–Rise,7,United Arab Emirates,"September 17, 2020",1,Asia,0.01,0.1912597721024848
46 Yok Olan,Fall–Rise–Fall,2,Germany,"June 30, 2017",2,Europe,0.7842516,0.1673367793261102
46 Yok Olan,Fall–Rise–Fall,3,Singapore,"June 30, 2017",2,Asia,0.230165,0.583682754347835
46 Yok Olan,Fall–Rise–Fall,4,Philippines,"October 5, 2017",2,Asia,0.1298888,0.6621582412275726
50M2,Fall–Rise,1,United Arab Emirates,"January 27, 2021",1,Asia,0.01,0.1912597721024848
50M2,Fall–Rise,2,Argentina,"January 27, 2021",1,South America,0.4332813,0.8508386475808689
50M2,Fall–Rise,3,Australia,"January 27, 2021",1,Oceania,0.7100703,1.0
50M2,Fall–Rise,6,Germany,"January 27, 2021",1,Europe,0.7842516,0.1673367793261102
50M2,Fall–Rise,7,Egypt,"January 27, 2021",1,Africa,0.3713828,0.0723007485139661
50M2,Fall–Rise,4,Brazil,"January 27, 2021",1,South America,0.3063638,0.7086143745052557
50M2,Fall–Rise,10,United Kingdom,"January 27, 2021",1,Europe,0.6967751,0.2524422168955692
50M2,Fall–Rise,11,Israel,"January 27, 2021",1,Asia,0.01,0.0612838137293157
50M2,Fall–Rise,12,India,"January 27, 2021",1,Asia,0.0793723,0.33051190066537
50M2,Fall–Rise,13,Italy,"January 27, 2021",1,Europe,0.4192803,0.1478157140319547
50M2,Fall–Rise,14,Japan,"January 27, 2021",1,Asia,0.6066421,0.7721366121005522
50M2,Fall–Rise,15,South Korea,"January 27, 2021",1,Asia,0.7258395,0.6799317781731508
50M2,Fall–Rise,16,Mexico,"January 27, 2021",1,North America,0.4145935,0.9646369383912728
50M2,Fall–Rise,17,Netherlands,"January 27, 2021",1,Europe,0.8124272,0.2210696091685343
50M2,Fall–Rise,18,Philippines,"January 27, 2021",1,Asia,0.1298888,0.6621582412275726
50M2,Fall–Rise,19,Poland,"January 27, 2021",1,Europe,0.324006,0.1233551371653434
50M2,Fall–Rise,20,Singapore,"January 27, 2021",1,Asia,0.230165,0.583682754347835
50M2,Fall–Rise,22,United States,"January 27, 2021",1,North America,0.534117,0.7936160860974052
50M2,Fall–Rise,5,Canada,"January 27, 2021",1,North America,0.5667968,0.7849206074012037
50M2,Fall–Rise,8,Spain,"January 27, 2021",1,Europe,0.7732433,0.2640219694512341
50M2,Fall–Rise,9,France,"January 27, 2021",1,Europe,0.6693177,0.2295492047563604
Adi Mutluluk,Rise–Fall–Rise,3,United Arab Emirates,"May 6, 2020",0,Asia,0.01,0.1912597721024848
Adi Mutluluk,Rise–Fall–Rise,4,Indonesia,"May 6, 2020",0,Asia,0.0833755,0.6296538091518518
Adim Farah,Fall–Rise–Fall,1,France,"March 1, 2023",2,Europe,0.6693177,0.2295492047563604
Adim Farah,Fall–Rise–Fall,2,Italy,"March 1, 2023",2,Europe,0.4192803,0.1478157140319547
Adim Farah,Fall–Rise–Fall,6,United Kingdom,"March 2, 2023",2,Europe,0.6967751,0.2524422168955692
Adim Farah,Fall–Rise–Fall,7,India,"March 2, 2023",2,Asia,0.0793723,0.33051190066537
Adim Farah,Fall–Rise–Fall,4,United States,"March 1, 2023",2,North America,0.534117,0.7936160860974052
Adim Farah,Fall–Rise–Fall,10,Saudi Arabia,"May 7, 2023",2,Asia,0.0949598,0.1486840479923277
Adim Farah,Fall–Rise–Fall,11,Poland,"July 17, 2023",2,Europe,0.324006,0.1233551371653434
Adim Farah,Fall–Rise–Fall,12,Iran,"August 14, 2023",2,Asia,0.0628783,0.1375124445961907
Adim Farah,Fall–Rise–Fall,13,Albania,"January 3, 2024",2,Europe,0.1458853,0.0946830751966958
Adim Farah,Fall–Rise–Fall,5,United Arab Emirates,"March 2, 2023",2,Asia,0.01,0.1912597721024848
Adim Farah,Fall–Rise–Fall,8,Philippines,"March 2, 2023",2,Asia,0.1298888,0.6621582412275726
Adim Farah,Fall–Rise–Fall,9,Singapore,"March 2, 2023",2,Asia,0.230165,0.583682754347835
Adini Feriha Koydum,Rise–Fall,3,Argentina,"December 16, 2016",0,South America,0.4332813,0.8508386475808689
Adini Feriha Koydum,Rise–Fall,6,India,"April 3, 2018",0,Asia,0.0793723,0.33051190066537
Adini Feriha Koydum,Rise–Fall,7,United Arab Emirates,"March 6, 2019",0,Asia,0.01,0.1912597721024848
Adini Feriha Koydum,Rise–Fall,4,Hungary,"March 6, 2018",0,Europe,0.5444989,0.1137859404272508
Adini Feriha Koydum,Rise–Fall,5,Egypt,"April 3, 2018",0,Africa,0.3713828,0.0723007485139661
Aldatmak,Fall–Rise,1,Brazil,September 2022,1,South America,0.3063638,0.7086143745052557
Aldatmak,Fall–Rise,2,France,"September 22, 2022",1,Europe,0.6693177,0.2295492047563604
Aldatmak,Fall–Rise,4,United Arab Emirates,"September 23, 2022",1,Asia,0.01,0.1912597721024848
Aldatmak,Fall–Rise,5,Philippines,"September 23, 2022",1,Asia,0.1298888,0.6621582412275726
Ariza,Fall–Rise–Fall,3,United Arab Emirates,"September 14, 2020",2,Asia,0.01,0.1912597721024848
Ariza,Fall–Rise–Fall,4,Egypt,"September 14, 2020",2,Africa,0.3713828,0.0723007485139661
Ariza,Fall–Rise–Fall,5,Philippines,"September 14, 2020",2,Asia,0.1298888,0.6621582412275726
Ask 101,Rise–Fall–Rise,2,United Arab Emirates,"April 24, 2020",0,Asia,0.01,0.1912597721024848
Ask 101,Rise–Fall–Rise,3,Argentina,"April 24, 2020",0,South America,0.4332813,0.8508386475808689
Ask 101,Rise–Fall–Rise,6,Canada,"April 24, 2020",0,North America,0.5667968,0.7849206074012037
Ask 101,Rise–Fall–Rise,7,Germany,"April 24, 2020",0,Europe,0.7842516,0.1673367793261102
Ask 101,Rise–Fall–Rise,4,Australia,"April 24, 2020",0,Oceania,0.7100703,1.0
Ask 101,Rise–Fall–Rise,10,Spain,"April 24, 2020",0,Europe,0.7732433,0.2640219694512341
Ask 101,Rise–Fall–Rise,11,France,"April 24, 2020",0,Europe,0.6693177,0.2295492047563604
Ask 101,Rise–Fall–Rise,12,United Kingdom,"April 24, 2020",0,Europe,0.6967751,0.2524422168955692
Ask 101,Rise–Fall–Rise,13,Hong Kong,"April 24, 2020",0,Asia,0.6070375,0.6008196576520627
Ask 101,Rise–Fall–Rise,14,Hungary,"April 24, 2020",0,Europe,0.5444989,0.1137859404272508
Ask 101,Rise–Fall–Rise,15,Indonesia,"April 24, 2020",0,Asia,0.0833755,0.6296538091518518
Ask 101,Rise–Fall–Rise,16,Israel,"April 24, 2020",0,Asia,0.01,0.0612838137293157
