URL,Original Title,English Title,Genre,Episodes,Broadcast Network,Broadcast Start Date,Broadcast End Date,Production Company,Director,Screen Writer,Synopsis
https://www.turkishdrama.com/the-tailor-terzi-tv-series.html,Terzi,The Tailor,"Drama, Romance",23.0,Netflix,"May 2, 2023","November 3, 2023",OGM Pictures,Cem Karci,,"Peyami Dokumaci (Cagatay Ulusoy) is a young and famous tailor who is well-known in Istanbul. He owns a successful business which shapes the fashion world.  Peyami has a talent that nobody has. He uses his hands and mind in a clever way to design beautiful clothes. He is a strong, charismatic, and handsome tailor who takes the attention of women easily. He enjoys his wealth and youth.

Peyami lives all alone in a big mansion and enjoys his independence. However, his perfect life turns upside down with bad news from his hometown. He has nothing to do but to face his past that he escaped from years ago.After learning that his grandfather dies, Peyami goes to his hometown. It has been the first time he returns to his hometown since he left years ago.Peyami has a father who is mentally challenged. Due to the fact that he was ashamed of his father, Peyami left his hometown and went to Istanbul when he was a little child. He got his education apart from his family and nobody knew anything about his mentally challenged father.Peyami never returns to his hometown since his childhood. After his grandfather passes away, Peyami has nothing to do but to become the head of the family and take care of his father Mustafa (Olgun Simsek). Peyami brings his father and his grandmother to Istanbul and starts to live together with them.Peyami keeps his family secret and does not want to feel ashamed due to his father’s condition. Even though he is a young and successful guy right now, he still experiences his childhood trauma.  Meanwhile, Peyami bumps into a young girl, Esvet (Sifanur Gul) who starts to work as a caregiver for Peyami’s father.Esvet, in fact, runs away from her abusive fiance Dimitri (Salih Bademci). When she comes to Istanbul in order to get married, she learns that her future-to-be husband has some psychological problems. She cannot persuade her parents and understands that she would get married if she does not do anything. For this reason, Esvet leaves everything behind and escapes from her marriage without thinking anything.Esvet starts to work as a caregiver at Peyami’s house. She knows that she can hide there until she finds another way. Esvet does not disclose her true identity and introduces herself as Firdevs. She also does not disclose the fact that she is the fiancee of Dimitri.Peyami and Dimitri are close friends and business partners. They have known each other since primary school. Even though they have known each other for a very long time, Dimitri does not know anything about Peyami’s father. For this reason, Peyami tries his best to keep his family secret. When he hires Esvet/Firdevs as a caregiver, he also keeps it secret from his childhood friend. Due to this fact, Esvet/Firdevs thinks that Peyami’s house is the safest place in Istanbul.  The Tailor (Terzi) tv series story is about a famous tailor Peyami Dokumaci who has a mentally challenged father. Will Peyami manage to live together with his family after so many years? Will Peyami manage to keep his family secret? Will Esvet manage to escape from her fiance Dimitri? Will Peyami learn about the true identity of Esvet?The Tailor (Terzi)"
https://www.turkishdrama.com/sapphire-safir-tv-series.html,Safir,Sapphire,"Romance, Drama",17.0,Atv,"September 4, 2023",Present,NTC Medya,Semih Bagci,,"Gulsoy family is a well-known, wealthy family in Cappadocia. The head of the family is Omer who is a strong businessman. After his son’s death, he starts to take care of his daughter-in-law Gulfem and his three grandchildren Ates, Yaman, and Okan.  Ates (Ilhan Sen) is the eldest son of the Gulsoy family. He lives abroad apart from his family and tries to stand on his own feet.

Yaman (Burak Berkay Akgul) is the middle son of the Gulsoy family. After his brother Ates goes to abroad, Yaman starts to live under the authority of his grandfather and works at the family business.Okan (Can Bartu Arslan) is the youngest son of the Gulsoy. He is funny and clever and he has a very close relationship with his brother Yaman.Gulsoy family also becomes a house for the servants who are working for them. Feraye (Ozge Yagiz) lives in a small house on the farm of the Gulsoy family as his family works for the Gulsoy family.Feraye and Yaman have known each other since childhood. They become good childhood friends and later on, develop a romantic relationship. They love each other to death and plan to get married when Feraye graduates from the university.Feraye is hardworking, honest, faithful, and believes in the power of love. She is a senior student studying fashion design and sometimes gives assistance to her family while doing house chores at the Gulsoy family.  Feraye and Yaman keep their relationship secret from their families. They know that their families will not approve of their relationship easily. Thus, they want to get their independence first and then, they want to disclose their relationship to everyone.The lives of Yaman and Feraye turn upside down with a tragic incident. Even though they love each other to death, they get through a hard time that drastically affects their love for each other.Yaman organizes a special day to propose to Feraye. However, on that night, he finds himself fighting with an heir of a powerful family. Bora (Efe Tasdelen) is the guy who comes from a powerful family and thinks that he can solve anything with money. After this fight, he wants to get revenge from Yaman and goes to his house with a gun. While threatening him with gun, Okan tries to protect his brother and hits an object on Bora’s head, resulting in him fainting.Yaman and Okan do not know what to do. Yaman stays at home to clean everything while Okan takes Bora to go to hospital. On his way to hospital, Okan thinks that he killed Bora and out of fear, he throws the body to a lake.  After learning that, Yaman wants to go to the police but he decides to remain silent in order to protect his family. However, he finds himself in a very difficult situation.The servant Cemile (Nur Yazar), who is the step-mother of Feraye, eyewitnesses everything. She threatens Yaman and Okan. She wants her daughter to have a wealthy life and get rid of poverty. Therefore, she forces Yaman to get married to her own daughter Aleyna (Gizem Sevim).In order to protect his brother, Yaman makes a huge sacrifice and does everything that Cemile wants. He leaves Feraye behind, ends his relationship, and immediately gets married to Aleyna.Feraye cannot understand what has been happening in her life. She thinks that she has been deceived and betrayed for a long time. She wants to end her life and decides to set the house on fire after speaking with Yaman.Meanwhile Ates returns to Cappadocia and out of pure coincidence, he saves the life of Feraye. At the hospital, they learn that Feraye is expecting a baby.The lives of Yaman and Feraye intersect in a different way. Yaman gets married to Feraye’s step-sister Aleyna. Feraye, on the other hand, makes a deal with Yaman’s older brother Ates and pretends as if she has been dating Ates to protect her baby. Both Yaman and Feraye cannot reveal their truths.Sapphire (Safir) tv series story is about the pure love between Yaman and Feraye who have been in love with each other since their childhood. Will Yaman manage to save the life of his brother? Will Feraye learn the truth about Yaman? Will Yaman understand why Feraye gets married to Ates? Will Yaman and Feraye forgive each other?Sapphire (Safir)"
https://www.turkishdrama.com/omer-tv-series.html,Ömer,Omer,"Drama, Family",34.0,Star TV,"January 9, 2023",present,OGM Pictures,Cem Karci,"Gulizar Irmak, Deniz Madanoglu, Sedef Bayburtluoglu Gurerk","Omer (Selahattin Pasali) is a young guy in his 20s. He comes from a conservative family. He lives with his father Resat (Baris Falay) and his grandmother Nezahat (Zerrin Sumer), and takes care of the family after his mother’s death. Omer is an innocent, sensitive, and calm guy who finds a way to repair his soul. Since his childhood, he has been following his love and passion for painting.

Omer is the youngest of three siblings. After his mother passes away, Omer has considered his older sister Nisa (Merve Dizdar) as half of his mother. However, Nisa breaks away from the family by marrying against the wishes of his father and this situation still deeply hurts Omar’s soul.  Omer works as a muezzin at the mosque (a person who proclaims the call to prayer for public worship). He also works as a substitute teacher at a public school and teaches religion to students.The life of Omer turns upside down when he falls in love with Gamze (Gokce Bahadir), an older woman.Gamze is a middle-aged woman who recently gets divorced from her husband. She returns to her family house together with her son even though she knows that she would have conflicts with her mother. After having an independent life for years, Gamze finds it hard to live together with her mother, sister, and brother-in-law in the same house.Gamze starts to live in a conservative neighborhood. She bumps into Omer on the first day she arrives at her mother’s house. Out of pure coincidence, an innocent love develops between Gamze and Omer.While struggling to start over her life as a single mother, Gamze finds an unexpected comfort in Omer’s love, who is much younger than her. Nobody in the neighborhood can approve of this relationship. Therefore, Gamze and Omer try to constrain their feelings, and fight against the strict rules in the neighborhood while dealing with the conflicts in their families.  Omer tv series story is about an impossible love between a young guy Omer and a middle-aged Gamze. Will Omer and Gamze disclose their love to each other and stand for all the obstacles in their life? Will Gamze get used to her new life as a single widowed woman in a conservative neighborhood? Will Omer follow his heart and hold over his love for Gamze?Omer"
https://www.turkishdrama.com/forevermore-vermem-seni-ellere-tv-series.html,Vermem Seni Ellere,Forevermore,"Romance, Drama",9.0,Atv,"June 18, 2023","August 13, 2023",AKN Film,Ali Balci,"Sehrazat Tunus Tasci, Damla Gucer, Samed Aslan, Veli Kaya","Mehmet (Emre Bey) is a young guy who comes from a wealthy family in Ordu (a city in the Black Sea region). He is the most popular and handsome guy in the city. He cannot live without adrenaline and adventure.  Mehmet is engaged to Hande (Ilayda Ildir) who comes from a wealthy family. He has a wedding ceremony even though he does not love Hande and does not want to get married. He accepts this marriage due to the pressure of his family.

At his wedding ceremony, Mehmet finds a way and escapes from the wedding. He knows that he has done the right thing. This is because, he considers this marriage as a funeral.Mehmet wants to ask forgiveness from Hande and her family but he does not want to get married. His father, on the other hand, forces him to marry due to his relationship and friendship with his in-laws.On the other hand, Zelis (Buse Meral) is a clever young girl. She wants to help the villagers sell their products in a more competitive market. She dedicates all her effort and time to the producers so that they could sell high-quality products including butter, honey, jam, and hazelnuts. Zelis takes the initiative, takes all responsibility, and contacts a businessman in Istanbul.Zelis and her people from the village start their journey to Istanbul in order to sign a contract and sell all their products there. However, on their way, they make an accident and ruin all their products.Out of pure coincidence, Zelis comes across Mehmet. While Mehmet is paragliding outside of the city, he crash-lands in Zelis’ car and causes her to make an accident.  After the accident, Mehmet gets injured and they go to the hospital. Zelis becomes so mad due to the fact that they have incurred a huge loss. She asks for money from Mehmet in order to compensate for their damages. However, Mehmet says that he does not remember anything, and even he does not know his name.Mehmet pretends to lose his memory. Thinking that he is saved, he falls into another captivity. He becomes now a prisoner of Zelis and starts living in her village.Zelis is determined to make Mehmet pay for all the damage he has done to the village. She is so determined and stubborn. She makes life difficult for Mehmet and makes him regret his birth. Thus, Mehmet tries to escape from this captivity whenever he finds a chance and looks for ways to get rid of Zelis. His only way out is to return to the life he has left behind.Forevermore (Vermem Seni Ellere) tv series story is about two young persons who fall in love with each other even though they come from different backgrounds and their parents disapprove of their marriage. Will Mehmet escape from Zelis’s captivity? Will Zelis manage to get compensation for her damages from Mehmet? Will Mehmet and Hande get married? Will villagers manage to sell their products in Istanbul?Forevermore (Vermem Seni Ellere)"
https://www.turkishdrama.com/queen-kralice-tv-series.html,Kralice,Queen,"Drama, Romance",11.0,Kanal D,"April 6, 2023","June 7, 2023",Mednova,"Cevdet Mercan, Serhan Sahin","Serdar Soydan, Kerem Bozok, Ekin Akcay, Nil Gulec Unsal, Ozlem Inci Hekimoglu","Deniz (Burcu Ozberk) and Ates (Gokhan Alkan) are a perfect couple. Both of them are successful in their professions, love each other so much, and have a happy marriage together with their daughter.  Ates is one of the most popular basketball players in the country while Deniz is a successful businesswoman. Their perfect life turns upside down all of a sudden.

Deniz cannot know what to do when the name of her husband is involved in a big scandal. The country starts to talk about the appearance of Ates with an escort girl. Ates immediately falsifies this news and manages to persuade his wife.The next day, Deniz goes to the basketball match to support her husband and shows that she trusts him. However, she finds out a video of her husband together with the escort girl on the internet. She cannot stay calm and goes down to the basketball field in the middle of the match and attacks her husband.While she is dealing with this scandal, Deniz also learns that her father passes away due to a heart attack. Upon learning of her father’s death, Deniz decides to go to her father’s farmhouse in a coastal town very close to Istanbul.Suddenly, Deniz loses everything. Her marriage is shaken and she loses her father. She takes her daughter and leaves her wealthy life behind and goes to the farmhouse in order to support her sister Zeynep (Selin Sekerci) and her brother Ali (Ozgun Karaman).Deniz also discovers that her father has left a huge debt behind. Deniz and her siblings Zeynep and Ali come together years later, collaborate, and start their lives again.  Meanwhile, Ates starts to have problems in his professional life due to the scandal. His reputation is damaged a lot. He starts to prove his innocence and win his wife’s trust again. He is determined not to give up his marriage. He does his best to get his perfect life back.On the other hand, Deniz cannot forgive her husband’s affair. She is determined to get divorced, start a new life together with her daughter, and save the farmhouse inherited by her father.Queen (Kralice) tv series story is about the life of Deniz whose life turns upside down after her husband’s betrayal. Will Deniz manage to get divorced? Will Deniz, Zeynep, and Ali manage to pay all the debts and save the farmhouse inherited by their father? Will Ates manage to prove his innocence and persuade his wife? Will Ates and Deniz forget about the past and start their life again?Queen (Kralice)"
https://www.turkishdrama.com/perfect-tenant-kusursuz-kiraci-tv-series.html,Kusursuz Kiraci,Perfect Tenant,Mystery,6.0,Fox Tv,"August 30, 2022","October 04, 2022",MF Yapim,Yusuf Pirhasan,Nermin Yildirim,"Mona (Dilan Cicek Deniz) is a young woman who works as a reporter and investigates the ongoing fires in Istanbul. She has been grown up in an orphanage after her father killed her mother. Even though she looks like a strong woman from the outside, she carries a wounded and timid child inside.  Mona finds a defense mechanism in order to cope with all the hardships in her life. She does not trust anyone and tries her best not to attach to anyone.

One day, when Mona goes to a scene of the fire in order to make a story, she comes across Yakup (Serkay Tutuncu). Yakup is a young man who also works as a reporter. He is energetic and does whatever it takes to reach his goals without thinking about ethical standards. He has recently moved to Istanbul from Milan, Italy.Mona and Yakup return from the news. However, on their way, Mona sees that her landlord throws all her belongings in front of the house due to the fact that she has not paid her rent for a while. Mona becomes a homeless person and does not know where to go.Even though Yakup seems to be very carefree, he has a great conscience, compassion, honesty, and self-confidence. When he finds out about Mona’s difficult condition, he wants to help her and makes an offer.Yakup lives in an apartment which is inherited by his grandfather. Even though the building was built in the 1940s, it has a spacious feel. The furnitures are old-fashioned and the apartment has some problems with facilities. The apartment is divided into two separate units which only share the kitchen.Mona accepts the offer from Yakup and starts to live in this separate unit and share the kitchen with him. She moves into his apartment as a tenant. However, events do not turn out as she expected.  Mona gets suspicious immediately after moving into her new apartment. She learns that many tenants have left the building due to suspicious events like ghosts. Whenever she talks with people in the neighborhood, she gets curious about the building. She does not know what is happening in the building.Each tenant in the building has different lives. They have unique characters. An unpleasant surprise awaits Mona in this building where she meets strange characters.On her first night in the apartment, Mona wakes up in the middle of the night. She hears some noises and has a strange feeling due to some shadows inside the apartment.Perfect Tenant (Kusursuz Kiraci) tv series story is about a young reporter Mona who starts to share an apartment together with her colleague Yakup but encounters with strange neighbors. Will Mona get along well with Yakup? Will Mona find peace in her new apartment? Will tenants keep their secrets from the new tenant? Will Mona find out the reasons why previous tenants have moved out of the apartment? Will Mona discover the secret of the neighbors in the building?Perfect Tenant (Kusursuz Kiraci)"
https://www.turkishdrama.com/step-mother-uvey-anne-tv-series.html,Uvey Anne,Step Mother,"Drama, Family",8.0,Atv,"June 19, 2023","August 14, 2023",ONN Medya,Yasemin Turkmenli,"Yasemin Kirbas, Hulya Vural","Faruk Gencer (Kutsi) is a successful businessman who is a lovely husband and father. He is an intelligent, strong, and charismatic person. He does his best to save his wife but cannot manage to find a cure for her illness.  After his wife passes away due to cancer, Faruk does not know how to live by himself together with his three children. He loves his wife very much and feels the helplessness after this loss. He tries to be strong for the sake of his children.

On the other hand, Serap (Hazal Filiz Kucukkose) is an attractive and envious young woman who has high ambitions. She is the daughter of a servant who works for the Gencer family. She graduates from university and works at Faruk Gencer’s company in Istanbul.When Faruk’s wife passes away, Serap uses this situation to her advantage. She starts to live in Faruk’s big mansion in order to take care of his children. Even though Serap does not want to be a servant just like her mother, she accepts to take care of the children in order to reach her goal.Serap makes a plan. She becomes very friendly toward Faruk’s children. At the same time, she is mesmerized by the wealth and power of Gencer family. Serap does not hesitate to use her beauty to attract her boss Faruk Gencer and get married to him.Step Mother (Uvey Anne) tv series story is about an ambitious girl Serap who uses her beauty to attract her boss Faruk after his wife passes away. Will Faruk manage to stay calm and strong after his wife passes away? Will Faruk fall in love with another woman? Will Serap manage to become the woman of the Gencer family? Will Serap become a good mother to three children? Will Serap and Faruk love each other?Step Mother (Uvey Anne)"
https://www.turkishdrama.com/farewell-letter-veda-mektubu-tv-series.html,Veda Mektubu,Farewell Letter,"Drama, Family",24.0,Kanal D,"February 27, 2023","August 21, 2023",Most Production,Deniz Celebi Dikilitas,"Deniz Akcay (1), Armagan Gulsahin (1, 5-13), Gokhan Atasoy (1), Mahinur Ergun (2-4), Yusuf Reha Alp (2-4), Melih Cam (2-4), Ayberk Cinar (9-24), Asli Gonulay (9-24), Simge Ayvazoglu (9-24)","Asli (Rabia Soyturk) is a cheerful young girl who goes to high school. Unlike her older sister Beste (Hazar Motan), she cannot be controlled by her mother. She is rebellious and wants to make her own decisions. After graduation, she plans to go to France in order to study at Law School even though she dreams of becoming a dancer. With her strong personality and rebellious nature, Asli resembles her mother Alanur (Nurgul Yesilcay).  Alanur is a very strong, modern, and attractive woman. She has grown up in a wealthy family and works as a manager of an art studio. Alanur has done her best to raise her two daughters by herself after she got divorced.

Alanur has a dominant character and wants to control everything. She wants to give a happy life to her daughters and wants them to become strong and independent. But sometimes, she takes some drastic actions. Due to her attitude, her daughters complain about Alanur’s cold-hearted nature.Alanur, in fact, turns into a frozen heart after she is abandoned by her first lover years ago. She becomes devastated when she gets a farewell letter from her lover. She buries her heart, gives up her dreams, and agrees to the marriage his father wants. After then, she lives without love and passion.Years later, Alanur comes across her first and only lover Ziya (Selim Bayraktar). Out of pure coincidence, her daughter Asli falls in love with the son of Ziya. The lives of two families turn upside down. They have to open the unclosed notebooks of the past and scratch the encrusted wounds buried in the past.Ziya is now married to Seher (Bennu Yildirimlar) and has three children: Mehmet (Emre Kivilcim), Selcuk (Kerem Alp Kabul), and Mine (Elif Uslusoy). He never forgets his first love but does his best to become a good father and a good wife for his family. Even though Seher has been in love with her husband since she was a young girl, she can never conquer his heart. Therefore, she becomes a woman with a broken heart and struggles with another woman’s shadow all her life.Alanur does not approve of the relationship between her daughter and Ziya’s son. She learns from her own experiences and tries to keep his daughter away from Mehmet in order to keep her safe. Whatever is left unfinished years ago becomes an obstacle to Asli and Mehmet’s love this time.  Meanwhile, Ziya also does not approve of the relationship between her son and Alanur’s daughter. However, Seher understands that she cannot persuade her son. Thus, she decides to stay beside her son as if she approves of this relationship. In fact, she secretly tries to separate them. She takes the pain of the jealousy she has held inside herself for years out of her daughter-in-law.Asli and Mehmet challenge everyone, try to overcome all obstacles, and heal the wounds of the past with the power of their love. However, their lives become very difficult because they need to find a balance between their loves and their families.Farewell Letter (Veda Mektubu) tv series story is about two young persons who fall in love with each other even though they come from different backgrounds and their parents disapprove of their marriage. Will Asli and Mehmet get married despite their parents’ disapproval? Will Alanur and Ziya learn who wrote the farewell letter years ago? Will Seher accept her daughter-in-law Asli or do her best to make her unhappy? Will Mehmet find a balance between his wife and his family? Will Alanur and Ziya manage to forgive each other? Will Asli get used to her new life? Will Asli continue her education after getting married to Mehmet?Farewell Letter (Veda Mektubu)"
https://www.turkishdrama.com/come-what-may-kendi-dusen-aglamaz-tv-series.html,Kendi Dusen Aglamaz,Come What May,"Romance, Comedy",13.0,TRT 1,"June 22, 2023",present,NG Medya,"Inci Balabanoglu Ahiska, Emre Kabakusak","Gulbike Sonay Ute, Tuna Kiygi, Fulya Emek Tanrikulu","Alize (Eylul Tumbar) is a beautiful, young, and spoiled girl who comes from a wealthy family. She has been raised by her father after her mother passed away while giving birth.  Alize is like a princess who gets whatever he wants. She is very popular among her friends. Her father Nurettin (Hakan Yilmaz) cares about her daughter and wants to do anything to make her happy. He does his best not to make her feel his mother’s loss.

Out of pure coincidence, Alize comes across Serkan (Enes Kocak). While talking with her friends on the phone, Alize makes a car accident due to carelessness. Even though she damages Serkan’s car, she leaves the scene and goes to her birthday party.Serkan, on the other hand, works as a mechanic and finds out that he has incurred a loss due to a car accident. He is determined to find Alize and get compensation for his loss.Serkan goes to Alize’s house and asks for money for his loss. All of a sudden, he finds himself in the middle of the fight. Serkan cannot get his money but manages to end the birthday party and gets the attention of many girls on social media.Nurettin becomes so unhappy after learning that her daughter has made a car accident and caused damage to a low-income mechanic. He discusses her daughter due to her selfish behavior.Meanwhile, Nurettin decides to get married to Sinem (Selen Soyder). Even though he has been dating her for a while, he cannot disclose his relationship to Alize and waits for the right moment to explain everything.  Alize goes crazy when she learns that her father is getting remarried to Sinem. She does not approve of her father’s marriage. She still misses her mother and wants to keep her mother’s memory alive.In order to take revenge, Alize decides to make a fake marriage with a man whom his father would never allow her to marry. She thinks that her father would not get married if she finds an improper groom.Alize makes an offer to Serkan: they would make a fake marriage and Alize would pay all the damages of the car. They make a deal to get married as soon as possible, stay married for 6 months, live in Serkan’s house together with his family, and after then, get divorced.Serkan has an ordinary life, living together with her sister, father, and grandparents. His marriage decision surprises his family. After marriage, Alize needs to find a way to deal with the family issues.  Come What May (Kendi Dusen Aglamaz) tv series story is about fake marriage between Alize and Serkan. Will Alize prevent her father’s marriage? Will Alize and Serkan get along well even though they have different backgrounds and personalities? Will Alize get used to living in Serkan’s house?Come What May (Kendi Dusen Aglamaz)"
https://www.turkishdrama.com/yakamoz-s-245-into-the-deep-tv-series.html,Yakamoz S-245,Into the Deep,"Action, Apocalyptic, Science Fiction, Thriller",7.0,Netflix,,,OGM Pictures,"Tolga Karacelik, Umut Aral","Jason George, Atasay Koc, Cansu Coban, Sami Berat Marcali, Murat Uyurkulak","It is a spin-off of the Belgian series Into the Night.  Arman (Kivanc Tatlitug) is a diving instructor and marine biologist. He comes from a wealthy family but lives in a coastal town without getting any support from his family. He challenges life due to his free-spirited nature.

One day, Arman receives an offer and joins a research mission aboard a submarine in order to conduct research after a natural disaster. He becomes the captain of his crew consisting of scientists. He boards a military submarine together with his science team and a team of soldiers. Besides their mission, Arman and his team also try to find out what the real mission of the military submarine is.After they complete their research mission, they realize that the sun has killed everyone up above. The handful of people in the submarine now become some of the survivors from a deadly global event caused by exposure to sunlight.Arman and his crew must fight to survive and need to get on board a military sub to survive.  They gen on the submarine and heads into the deep waters in an attempt to survive this catastrophe that kills all living organisms during daylight hours.The life of people in the submarine becomes in danger. They must work together to escape from the sunlight. They have limited food, fuel shortage, technological problems, hidden agendas, and psychological stress. As they try to figure out what is happening up above, they also need to deal with the tensions arising between the science crew and a team of soldiers.Arman particularly conflicts with the boat’s second commander, Umut (Ertan Saban). Even though all people must work in collaboration, they become their own enemies. The science crew and the team of soldiers do not trust each other.  Arman will not only fight to stay alive but also will get a second chance with the love of his life Defne (Ozge Ozpirincci).Yakamoz S-245 (Into the Deep) tv series story is about the handful of people in the submarine who become some of the survivors of a deadly global event caused by exposure to sunlight. Will people in the submarine understand why people die due to exposure to sunlight? Will Arman and Umut manage to work in collaboration? Will Arman use his second chance of love successfully?Yakamoz S-245 (Into the Deep)"
