URL,country1,date1,country2,date2,country3,date3,country4,date4,country5,date5,country6,date6,country7,date7,country8,date8,country9,date9,country10,date10,country11,date11,country12,date12,country13,date13,country14,date14,country15,date15,country16,date16,country17,date17,country18,date18,country19,date19,country20,date20,country21,date21,country22,date22,country23,date23,country24,date24,country25,date25,country26,date26,country27,date27,country28,date28,country29,date29,country30,date30,country31,date31,country32,date32,country33,date33,country34,date34,country35,date35,country36,date36,country37,date37,country38,date38,country39,date39,country40,date40,country41,date41,country42,date42,country43,date43,country44,date44,country45,date45,country46,date46
https://www.imdb.com/title/tt0421488/,United Arab Emirates,"May 2, 2023",Argentina,"May 2, 2023",Australia,"May 2, 2023",Brazil,"May 2, 2023",Canada,"May 2, 2023",Germany,"May 2, 2023",Ecuador,"May 2, 2023",Spain,"May 2, 2023",France,"May 2, 2023",United Kingdom,"May 2, 2023",Hong Kong,"May 2, 2023",Israel,"May 2, 2023",India,"May 2, 2023",Italy,"May 2, 2023",Japan,"May 2, 2023",Mexico,"May 2, 2023",Netherlands,"May 2, 2023",Philippines,"May 2, 2023",Poland,"May 2, 2023",Singapore,"May 2, 2023",Turkey,"May 2, 2023",Taiwan,"May 2, 2023",United States,"May 2, 2023",South Africa,"May 2, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,France,"January 9, 2023",Turkey,"January 9, 2023",United Arab Emirates,"January 10, 2023",Australia,"January 10, 2023",Egypt,"January 10, 2023",India,"January 10, 2023",United Kingdom,"June 10, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Turkey,"June 18, 2023",United Arab Emirates,"June 19, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,Thailand,"August 30, 2022",Turkey,"August 30, 2022",Egypt,"August 31, 2022",India,"August 31, 2022",Philippines,"August 31, 2022",Singapore,"August 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,France,"February 27, 2023",Turkey,"February 27, 2023",Vietnam,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,United Arab Emirates,"April 20, 2022",Argentina,"April 20, 2022",Australia,"April 20, 2022",Brazil,"April 20, 2022",Canada,"April 20, 2022",Germany,"April 20, 2022",Egypt,"April 20, 2022",Spain,"April 20, 2022",France,"April 20, 2022",United Kingdom,"April 20, 2022",Hong Kong,"April 20, 2022",Indonesia,"April 20, 2022",India,"April 20, 2022",Italy,"April 20, 2022",Japan,"April 20, 2022",South Korea,"April 20, 2022",Mexico,"April 20, 2022",Netherlands,"April 20, 2022",Philippines,"April 20, 2022",Poland,"April 20, 2022",Sweden,"April 20, 2022",Singapore,"April 20, 2022",Thailand,"April 20, 2022",Turkey,"April 20, 2022",Taiwan,"April 20, 2022",United States,"April 20, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,France,"July 7, 2022",Turkey,"July 7, 2022",United Arab Emirates,"July 8, 2022",Australia,"July 8, 2022",Ecuador,"July 8, 2022",Egypt,"July 8, 2022",Indonesia,"July 8, 2022",Israel,"July 8, 2022",India,"July 8, 2022",Philippines,"July 8, 2022",Singapore,"July 8, 2022",South Africa,"July 8, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,France,"April 6, 2023",Turkey,"April 6, 2023",United States,"April 6, 2023",United Arab Emirates,"April 7, 2023",United Kingdom,"April 7, 2023",India,"April 7, 2023",Philippines,"April 7, 2023",Singapore,"April 7, 2023",United States,"December 12, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,France,"March 1, 2023",Italy,"March 1, 2023",Turkey,"March 1, 2023",United States,"March 1, 2023",United Arab Emirates,"March 2, 2023",United Kingdom,"March 2, 2023",India,"March 2, 2023",Philippines,"March 2, 2023",Singapore,"March 2, 2023",Saudi Arabia,"May 7, 2023",Poland,"July 17, 2023",Iran,"August 14, 2023",Albania,"January 3, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,France,"October 28, 2022",Turkey,"October 28, 2022",United Arab Emirates,"October 29, 2022",Egypt,"October 29, 2022",Israel,"October 29, 2022",India,"October 29, 2022",Poland,"October 29, 2022",Singapore,"October 29, 2022",South Africa,"October 29, 2022",Spain,"January 2, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,France,"November 30, 2022",Turkey,"November 30, 2022",United Arab Emirates,"December 1, 2022",Egypt,"December 1, 2022",United Kingdom,"December 1, 2022",India,"December 1, 2022",Thailand,"December 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt0421488/,France,"July 21, 2022",Turkey,"July 21, 2022",United Arab Emirates,"July 22, 2022",Egypt,"July 22, 2022",Indonesia,"July 22, 2022",India,"July 22, 2022",Philippines,"July 22, 2022",Singapore,"July 22, 2022",Thailand,"July 22, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
