URL,Original Title,English Title,Genre,Episodes,Broadcast Network,Broadcast Start Date,Broadcast End Date,Production Company,Director,Screen Writer,Synopsis,IMDb ID from Turkish,IMDb URL from Turkish,IMDb ID From Turkish
https://www.turkishdrama.com/the-tailor-terzi-tv-series.html,Terzi,The Tailor,"Drama, Romance",23.0,Netflix,2-May-23,3-Nov-23,OGM Pictures,Cem Karci,,"Peyami Dokumaci (Cagatay Ulusoy) is a young and famous tailor who is well-known in Istanbul. He owns a successful business which shapes the fashion world.  Peyami has a talent that nobody has. He uses his hands and mind in a clever way to design beautiful clothes. He is a strong, charismatic, and handsome tailor who takes the attention of women easily. He enjoys his wealth and youth.",tt13317230,https://www.imdb.com/title/tt13317230/,tt13317230
https://www.turkishdrama.com/sapphire-safir-tv-series.html,Safir,Sapphire,"Romance, Drama",17.0,Atv,4-Sep-23,Present,NTC Medya,Semih Bagci,,"Gulsoy family is a well-known, wealthy family in Cappadocia. The head of the family is Omer who is a strong businessman. After his son’s death, he starts to take care of his daughter-in-law Gulfem and his three grandchildren Ates, Yaman, and Okan.  Ates (Ilhan Sen) is the eldest son of the Gulsoy family. He lives abroad apart from his family and tries to stand on his own feet.",tt0821803,https://www.imdb.com/title/tt0821803/,tt0821803
https://www.turkishdrama.com/omer-tv-series.html,Ömer,Omer,"Drama, Family",34.0,Star TV,9-Jan-23,present,OGM Pictures,Cem Karci,"Gulizar Irmak, Deniz Madanoglu, Sedef Bayburtluoglu Gurerk","Omer (Selahattin Pasali) is a young guy in his 20s. He comes from a conservative family. He lives with his father Resat (Baris Falay) and his grandmother Nezahat (Zerrin Sumer), and takes care of the family after his mother’s death. Omer is an innocent, sensitive, and calm guy who finds a way to repair his soul. Since his childhood, he has been following his love and passion for painting.",tt22719788,https://www.imdb.com/title/tt22719788/,tt22719788
https://www.turkishdrama.com/forevermore-vermem-seni-ellere-tv-series.html,Vermem Seni Ellere,Forevermore,"Romance, Drama",9.0,Atv,18-Jun-23,13-Aug-23,AKN Film,Ali Balci,"Sehrazat Tunus Tasci, Damla Gucer, Samed Aslan, Veli Kaya",Mehmet (Emre Bey) is a young guy who comes from a wealthy family in Ordu (a city in the Black Sea region). He is the most popular and handsome guy in the city. He cannot live without adrenaline and adventure.  Mehmet is engaged to Hande (Ilayda Ildir) who comes from a wealthy family. He has a wedding ceremony even though he does not love Hande and does not want to get married. He accepts this marriage due to the pressure of his family.,tt27739128,https://www.imdb.com/title/tt27739128/,tt27739128
https://www.turkishdrama.com/queen-kralice-tv-series.html,Kralice,Queen,"Drama, Romance",11.0,Kanal D,6-Apr-23,7-Jun-23,Mednova,"Cevdet Mercan, Serhan Sahin","Serdar Soydan, Kerem Bozok, Ekin Akcay, Nil Gulec Unsal, Ozlem Inci Hekimoglu","Deniz (Burcu Ozberk) and Ates (Gokhan Alkan) are a perfect couple. Both of them are successful in their professions, love each other so much, and have a happy marriage together with their daughter.  Ates is one of the most popular basketball players in the country while Deniz is a successful businesswoman. Their perfect life turns upside down all of a sudden.",,,
https://www.turkishdrama.com/perfect-tenant-kusursuz-kiraci-tv-series.html,Kusursuz Kiraci,Perfect Tenant,Mystery,6.0,Fox Tv,30-Aug-22,4-Oct-22,MF Yapim,Yusuf Pirhasan,Nermin Yildirim,"Mona (Dilan Cicek Deniz) is a young woman who works as a reporter and investigates the ongoing fires in Istanbul. She has been grown up in an orphanage after her father killed her mother. Even though she looks like a strong woman from the outside, she carries a wounded and timid child inside.  Mona finds a defense mechanism in order to cope with all the hardships in her life. She does not trust anyone and tries her best not to attach to anyone.",tt19383446,https://www.imdb.com/title/tt19383446/,tt19383446
https://www.turkishdrama.com/step-mother-uvey-anne-tv-series.html,Uvey Anne,Step Mother,"Drama, Family",8.0,Atv,19-Jun-23,14-Aug-23,ONN Medya,Yasemin Turkmenli,"Yasemin Kirbas, Hulya Vural","Faruk Gencer (Kutsi) is a successful businessman who is a lovely husband and father. He is an intelligent, strong, and charismatic person. He does his best to save his wife but cannot manage to find a cure for her illness.  After his wife passes away due to cancer, Faruk does not know how to live by himself together with his three children. He loves his wife very much and feels the helplessness after this loss. He tries to be strong for the sake of his children.",,,
https://www.turkishdrama.com/farewell-letter-veda-mektubu-tv-series.html,Veda Mektubu,Farewell Letter,"Drama, Family",24.0,Kanal D,27-Feb-23,21-Aug-23,Most Production,Deniz Celebi Dikilitas,"Deniz Akcay (1), Armagan Gulsahin (1, 5-13), Gokhan Atasoy (1), Mahinur Ergun (2-4), Yusuf Reha Alp (2-4), Melih Cam (2-4), Ayberk Cinar (9-24), Asli Gonulay (9-24), Simge Ayvazoglu (9-24)","Asli (Rabia Soyturk) is a cheerful young girl who goes to high school. Unlike her older sister Beste (Hazar Motan), she cannot be controlled by her mother. She is rebellious and wants to make her own decisions. After graduation, she plans to go to France in order to study at Law School even though she dreams of becoming a dancer. With her strong personality and rebellious nature, Asli resembles her mother Alanur (Nurgul Yesilcay).  Alanur is a very strong, modern, and attractive woman. She has grown up in a wealthy family and works as a manager of an art studio. Alanur has done her best to raise her two daughters by herself after she got divorced.",tt24224504,https://www.imdb.com/title/tt24224504/,tt24224504
https://www.turkishdrama.com/come-what-may-kendi-dusen-aglamaz-tv-series.html,Kendi Dusen Aglamaz,Come What May,"Romance, Comedy",13.0,TRT 1,22-Jun-23,present,NG Medya,"Inci Balabanoglu Ahiska, Emre Kabakusak","Gulbike Sonay Ute, Tuna Kiygi, Fulya Emek Tanrikulu","Alize (Eylul Tumbar) is a beautiful, young, and spoiled girl who comes from a wealthy family. She has been raised by her father after her mother passed away while giving birth.  Alize is like a princess who gets whatever he wants. She is very popular among her friends. Her father Nurettin (Hakan Yilmaz) cares about her daughter and wants to do anything to make her happy. He does his best not to make her feel his mother’s loss.",,,
https://www.turkishdrama.com/yakamoz-s-245-into-the-deep-tv-series.html,Yakamoz S-245,Into the Deep,"Action, Apocalyptic, Science Fiction, Thriller",7.0,Netflix,,,OGM Pictures,"Tolga Karacelik, Umut Aral","Jason George, Atasay Koc, Cansu Coban, Sami Berat Marcali, Murat Uyurkulak",It is a spin-off of the Belgian series Into the Night.  Arman (Kivanc Tatlitug) is a diving instructor and marine biologist. He comes from a wealthy family but lives in a coastal town without getting any support from his family. He challenges life due to his free-spirited nature.,tt13317454,https://www.imdb.com/title/tt13317454/,tt13317454
